index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Chennai_0,"POLYGON ((80.14466818223862 13.088329445104517, 80.14466818223862 13.092704301026865, 80.14017660581803 13.092704301026865, 80.14017660581803 13.088329445104517, 80.14466818223862 13.088329445104517))",13.09051687306569,80.14242239402833,,,,2351.316,,197.229,2470.542,0.0,0.0,0.0,2548.545,0.0
Chennai_1,"POLYGON ((80.14466818223862 13.092704301026865, 80.14466818223862 13.09707907926074, 80.14017660581803 13.09707907926074, 80.14017660581803 13.092704301026865, 80.14466818223862 13.092704301026865))",13.094891690143804,80.14242239402833,,,,2711.269,,234.102,2932.504,31.647,0.099,0.0,2977.018,0.099
Chennai_2,"POLYGON ((80.14466818223862 13.09707907926074, 80.14466818223862 13.101453779782018, 80.14017660581803 13.101453779782018, 80.14017660581803 13.09707907926074, 80.14466818223862 13.09707907926074))",13.09926642952138,80.14242239402832,,,,2660.249,,80.267,1020.194,31.647,0.099,0.0,2772.163,0.099
Chennai_3,"POLYGON ((80.14466818223862 13.101453779782018, 80.14466818223862 13.105828402566576, 80.14017660581803 13.105828402566576, 80.14017660581803 13.101453779782018, 80.14466818223862 13.101453779782018))",13.103641091174298,80.14242239402832,,,,1783.697,,30.322,385.341,71.695,0.222,0.0,1885.714,0.222
Chennai_4,"POLYGON ((80.14466818223862 13.105828402566576, 80.14466818223862 13.110202947590297, 80.14017660581803 13.110202947590297, 80.14017660581803 13.105828402566576, 80.14466818223862 13.105828402566576))",13.10801567507844,80.14242239402832,,,,1325.791,,0.004,0.365,0.0,0.0,0.0,1325.795,0.0
Chennai_5,"POLYGON ((80.14466818223862 13.110202947590297, 80.14466818223862 13.114577414829057, 80.14017660581803 13.114577414829057, 80.14017660581803 13.110202947590297, 80.14466818223862 13.110202947590297))",13.112390181209674,80.14242239402832,,,,1860.813,,33.84,431.957,0.0,0.0,0.0,1894.653,0.0
Chennai_6,"POLYGON ((80.14466818223862 13.114577414829057, 80.14466818223862 13.118951804258746, 80.14017660581803 13.118951804258746, 80.14017660581803 13.114577414829057, 80.14466818223862 13.114577414829057))",13.116764609543901,80.14242239402832,,,,2700.4,,192.926,2533.177,2.898,0.0,0.0,2896.224,0.0
Chennai_7,"POLYGON ((80.14466818223862 13.118951804258746, 80.14466818223862 13.123326115855248, 80.14017660581803 13.123326115855248, 80.14017660581803 13.118951804258746, 80.14466818223862 13.118951804258746))",13.121138960056998,80.14242239402832,,,,3548.73,,274.498,3604.237,0.0,0.0,0.0,3823.228,0.0
Chennai_8,"POLYGON ((80.14466818223862 13.123326115855248, 80.14466818223862 13.12770034959445, 80.14017660581803 13.12770034959445, 80.14017660581803 13.123326115855248, 80.14466818223862 13.123326115855248))",13.12551323272485,80.14242239402832,,,,3699.803,,278.332,3732.529,0.0,0.0,0.0,3978.135,0.0
Chennai_9,"POLYGON ((80.14915975865922 13.013945031476187, 80.14915975865922 13.018321204409295, 80.14466818223862 13.018321204409295, 80.14466818223862 13.013945031476187, 80.14915975865922 13.013945031476187))",13.01613311794274,80.14691397044892,,,,3681.554,,294.2,3642.411,5.16,0.0,0.0,3980.914,0.0
Chennai_10,"POLYGON ((80.14915975865922 13.018321204409295, 80.14915975865922 13.02269730006439, 80.14466818223862 13.02269730006439, 80.14466818223862 13.018321204409295, 80.14915975865922 13.018321204409295))",13.020509252236844,80.14691397044892,,,,4446.009,,368.317,4436.517,112.284,0.33,0.0,4926.61,0.33
Chennai_11,"POLYGON ((80.14915975865922 13.02269730006439, 80.14915975865922 13.02707331841732, 80.14466818223862 13.02707331841732, 80.14466818223862 13.02269730006439, 80.14915975865922 13.02269730006439))",13.024885309240855,80.14691397044892,,,,3646.808,,153.722,1851.626,18.642,0.071,0.0,3819.172,0.071
Chennai_12,"POLYGON ((80.14915975865922 13.02707331841732, 80.14915975865922 13.031449259443916, 80.14466818223862 13.031449259443916, 80.14466818223862 13.02707331841732, 80.14915975865922 13.02707331841732))",13.029261288930618,80.14691397044894,,,,2513.027,,0.0,0.0,18.642,0.071,0.0,2531.669,0.071
Chennai_13,"POLYGON ((80.14915975865922 13.031449259443916, 80.14915975865922 13.035825123120024, 80.14466818223862 13.035825123120024, 80.14466818223862 13.031449259443916, 80.14915975865922 13.031449259443916))",13.033637191281967,80.14691397044892,,,,3615.976,,29.798,353.003,2.775,0.0,0.0,3648.549,0.0
Chennai_14,"POLYGON ((80.14915975865922 13.035825123120024, 80.14915975865922 13.040200909421484, 80.14466818223862 13.040200909421484, 80.14466818223862 13.035825123120024, 80.14915975865922 13.035825123120024))",13.038013016270755,80.14691397044894,,,,5415.963,,174.309,2034.18,41.6,0.109,0.0,5631.872,0.109
Chennai_15,"POLYGON ((80.14915975865922 13.040200909421484, 80.14915975865922 13.044576618324145, 80.14466818223862 13.044576618324145, 80.14466818223862 13.040200909421484, 80.14915975865922 13.040200909421484))",13.042388763872813,80.14691397044892,,,,4907.331,,166.565,1943.7,5.151,0.0,0.0,5079.047,0.0
Chennai_16,"POLYGON ((80.14915975865922 13.083954511517826, 80.14915975865922 13.088329445104517, 80.14466818223862 13.088329445104517, 80.14466818223862 13.083954511517826, 80.14915975865922 13.083954511517826))",13.08614197831117,80.14691397044892,,,,2693.465,,63.926,784.268,42.017,0.131,0.0,2799.408,0.131
Chennai_17,"POLYGON ((80.14915975865922 13.088329445104517, 80.14915975865922 13.092704301026865, 80.14466818223862 13.092704301026865, 80.14466818223862 13.088329445104517, 80.14915975865922 13.088329445104517))",13.090516873065692,80.14691397044894,,,,3128.219,,217.412,2723.506,108.251,0.365,0.0,3453.882,0.365
Chennai_18,"POLYGON ((80.14915975865922 13.092704301026865, 80.14915975865922 13.09707907926074, 80.14466818223862 13.09707907926074, 80.14466818223862 13.092704301026865, 80.14915975865922 13.092704301026865))",13.094891690143804,80.14691397044894,,,,3375.691,,281.7,3528.729,101.619,0.334,0.0,3759.01,0.334
Chennai_19,"POLYGON ((80.14915975865922 13.09707907926074, 80.14915975865922 13.101453779782018, 80.14466818223862 13.101453779782018, 80.14466818223862 13.09707907926074, 80.14915975865922 13.09707907926074))",13.09926642952138,80.14691397044892,,,,2568.422,,48.772,619.616,101.619,0.334,0.0,2718.813,0.334
Chennai_20,"POLYGON ((80.14915975865922 13.101453779782018, 80.14915975865922 13.105828402566576, 80.14466818223862 13.105828402566576, 80.14466818223862 13.101453779782018, 80.14915975865922 13.101453779782018))",13.103641091174296,80.14691397044894,,,,1618.271,,7.074,89.872,3.191,0.0,0.0,1628.536,0.0
Chennai_21,"POLYGON ((80.14915975865922 13.105828402566576, 80.14915975865922 13.110202947590297, 80.14466818223862 13.110202947590297, 80.14466818223862 13.105828402566576, 80.14915975865922 13.105828402566576))",13.108015675078436,80.14691397044892,,,,1873.315,,96.011,1225.886,3.872,0.0,0.0,1973.198,0.0
Chennai_22,"POLYGON ((80.14915975865922 13.110202947590297, 80.14915975865922 13.114577414829057, 80.14466818223862 13.114577414829057, 80.14466818223862 13.110202947590297, 80.14915975865922 13.110202947590297))",13.112390181209676,80.14691397044894,,,,2699.127,,295.195,3768.682,116.814,0.362,0.0,3111.136,0.362
Chennai_23,"POLYGON ((80.14915975865922 13.114577414829057, 80.14915975865922 13.118951804258746, 80.14466818223862 13.118951804258746, 80.14466818223862 13.114577414829057, 80.14915975865922 13.114577414829057))",13.116764609543901,80.14691397044892,,,,3493.873,,217.95,2861.749,195.029,0.652,0.0,3906.852,0.652
Chennai_24,"POLYGON ((80.14915975865922 13.118951804258746, 80.14915975865922 13.123326115855248, 80.14466818223862 13.123326115855248, 80.14466818223862 13.118951804258746, 80.14915975865922 13.118951804258746))",13.121138960056996,80.14691397044892,,,,4477.503,,304.492,3998.029,171.088,0.47,0.0,4953.083,0.47
Chennai_25,"POLYGON ((80.14915975865922 13.123326115855248, 80.14915975865922 13.12770034959445, 80.14466818223862 13.12770034959445, 80.14466818223862 13.123326115855248, 80.14915975865922 13.123326115855248))",13.125513232724847,80.14691397044892,,,,4137.76,,214.337,2874.499,28.12,0.073,0.0,4380.217,0.073
Chennai_26,"POLYGON ((80.14915975865922 13.12770034959445, 80.14915975865922 13.132074505452245, 80.14466818223862 13.132074505452245, 80.14466818223862 13.12770034959445, 80.14915975865922 13.12770034959445))",13.129887427523347,80.14691397044892,,,,3322.202,,260.729,3496.55,31.251,0.089,0.0,3614.182,0.089
Chennai_27,"POLYGON ((80.14915975865922 13.132074505452245, 80.14915975865922 13.136448583404524, 80.14466818223862 13.136448583404524, 80.14466818223862 13.132074505452245, 80.14915975865922 13.132074505452245))",13.134261544428384,80.14691397044892,,,,1882.675,,159.525,2202.239,31.251,0.089,0.0,2073.451,0.089
Chennai_28,"POLYGON ((80.14915975865922 13.136448583404524, 80.14915975865922 13.140822583427186, 80.14466818223862 13.140822583427186, 80.14466818223862 13.136448583404524, 80.14915975865922 13.136448583404524))",13.138635583415855,80.14691397044892,,,,1121.455,,12.792,176.577,56.892,0.166,0.0,1191.139,0.166
Chennai_29,"POLYGON ((80.15365133507981 13.013945031476187, 80.15365133507981 13.018321204409295, 80.14915975865922 13.018321204409295, 80.14915975865922 13.013945031476187, 80.15365133507981 13.013945031476187))",13.016133117942742,80.15140554686951,,,,4294.336,,320.638,3970.875,149.061,0.504,0.0,4764.035,0.504
Chennai_30,"POLYGON ((80.15365133507981 13.018321204409295, 80.15365133507981 13.02269730006439, 80.14915975865922 13.02269730006439, 80.14915975865922 13.018321204409295, 80.15365133507981 13.018321204409295))",13.020509252236844,80.15140554686951,,,,5502.733,,374.515,4535.855,209.467,0.689,0.0,6086.715,0.689
Chennai_31,"POLYGON ((80.15365133507981 13.02269730006439, 80.15365133507981 13.02707331841732, 80.14915975865922 13.02707331841732, 80.14915975865922 13.02269730006439, 80.15365133507981 13.02269730006439))",13.024885309240856,80.15140554686951,,,,4960.987,,354.653,4295.257,183.283,0.547,0.0,5498.923,0.547
Chennai_32,"POLYGON ((80.15365133507981 13.02707331841732, 80.15365133507981 13.031449259443916, 80.14915975865922 13.031449259443916, 80.14915975865922 13.02707331841732, 80.15365133507981 13.02707331841732))",13.029261288930618,80.15140554686951,,,,3445.314,,156.537,1848.059,183.283,0.547,0.0,3785.134,0.547
Chennai_33,"POLYGON ((80.15365133507981 13.031449259443916, 80.15365133507981 13.035825123120024, 80.14915975865922 13.035825123120024, 80.14915975865922 13.031449259443916, 80.15365133507981 13.031449259443916))",13.03363719128197,80.1514055468695,,,,3933.24,,26.828,316.744,32.935,0.09,0.0,3993.003,0.09
Chennai_34,"POLYGON ((80.15365133507981 13.035825123120024, 80.15365133507981 13.040200909421484, 80.14915975865922 13.040200909421484, 80.14915975865922 13.035825123120024, 80.15365133507981 13.035825123120024))",13.038013016270753,80.15140554686951,,,,4585.985,,237.974,2756.552,254.875,0.721,0.004,5078.834,0.725
Chennai_35,"POLYGON ((80.15365133507981 13.040200909421484, 80.15365133507981 13.044576618324145, 80.14915975865922 13.044576618324145, 80.14915975865922 13.040200909421484, 80.15365133507981 13.040200909421484))",13.042388763872815,80.15140554686951,,,,4636.449,,230.242,2666.901,41.354,0.14,0.0,4908.045,0.14
Chennai_36,"POLYGON ((80.15365133507981 13.079579500290917, 80.15365133507981 13.083954511517826, 80.14915975865922 13.083954511517826, 80.14915975865922 13.079579500290917, 80.15365133507981 13.079579500290917))",13.08176700590437,80.15140554686951,,,,2895.137,,178.497,2134.734,7.211,0.0,0.0,3080.845,0.0
Chennai_37,"POLYGON ((80.15365133507981 13.083954511517826, 80.15365133507981 13.088329445104517, 80.14915975865922 13.088329445104517, 80.14915975865922 13.083954511517826, 80.15365133507981 13.083954511517826))",13.086141978311172,80.15140554686951,,,,2559.932,,3.597,43.088,29.271,0.077,0.0,2592.8,0.077
Chennai_38,"POLYGON ((80.15365133507981 13.088329445104517, 80.15365133507981 13.092704301026865, 80.14915975865922 13.092704301026865, 80.14915975865922 13.088329445104517, 80.15365133507981 13.088329445104517))",13.09051687306569,80.1514055468695,,,,3240.64,,64.079,782.112,130.081,0.419,0.0,3434.8,0.419
Chennai_39,"POLYGON ((80.15365133507981 13.092704301026865, 80.15365133507981 13.09707907926074, 80.14915975865922 13.09707907926074, 80.14915975865922 13.092704301026865, 80.15365133507981 13.092704301026865))",13.094891690143804,80.15140554686951,,,,3604.343,,158.912,1939.375,114.618,0.392,0.0,3877.873,0.392
Chennai_40,"POLYGON ((80.15365133507981 13.09707907926074, 80.15365133507981 13.101453779782018, 80.14915975865922 13.101453779782018, 80.14915975865922 13.09707907926074, 80.15365133507981 13.09707907926074))",13.09926642952138,80.1514055468695,,,,3050.488,,89.686,1116.537,114.618,0.392,0.0,3254.792,0.392
Chennai_41,"POLYGON ((80.15365133507981 13.101453779782018, 80.15365133507981 13.105828402566576, 80.14915975865922 13.105828402566576, 80.14915975865922 13.101453779782018, 80.15365133507981 13.101453779782018))",13.103641091174298,80.15140554686951,,,,2590.279,,255.044,3175.176,44.61,0.137,0.0,2889.933,0.137
Chennai_42,"POLYGON ((80.15365133507981 13.105828402566576, 80.15365133507981 13.110202947590297, 80.14915975865922 13.110202947590297, 80.14915975865922 13.105828402566576, 80.15365133507981 13.105828402566576))",13.10801567507844,80.1514055468695,,,,2957.229,,268.73,3378.067,374.053,0.979,0.02,3600.012,0.999
Chennai_43,"POLYGON ((80.15365133507981 13.110202947590297, 80.15365133507981 13.114577414829057, 80.14915975865922 13.114577414829057, 80.14915975865922 13.110202947590297, 80.15365133507981 13.110202947590297))",13.112390181209674,80.15140554686953,,,,3622.641,,278.715,3503.555,297.986,0.778,0.01,4199.342,0.788
Chennai_44,"POLYGON ((80.15365133507981 13.114577414829057, 80.15365133507981 13.118951804258746, 80.14915975865922 13.118951804258746, 80.14915975865922 13.114577414829057, 80.15365133507981 13.114577414829057))",13.116764609543901,80.1514055468695,,,,4238.795,,248.371,3228.194,246.882,0.621,0.0,4734.048,0.621
Chennai_45,"POLYGON ((80.15365133507981 13.118951804258746, 80.15365133507981 13.123326115855248, 80.14915975865922 13.123326115855248, 80.14915975865922 13.118951804258746, 80.15365133507981 13.118951804258746))",13.121138960056998,80.15140554686951,,,,4831.813,,330.877,4300.53,234.685,0.639,0.0,5397.375,0.639
Chennai_46,"POLYGON ((80.15365133507981 13.123326115855248, 80.15365133507981 13.12770034959445, 80.14915975865922 13.12770034959445, 80.14915975865922 13.123326115855248, 80.15365133507981 13.123326115855248))",13.12551323272485,80.15140554686951,,,,4250.252,,273.221,3658.398,205.414,0.679,0.0,4728.887,0.679
Chennai_47,"POLYGON ((80.15365133507981 13.12770034959445, 80.15365133507981 13.132074505452245, 80.14915975865922 13.132074505452245, 80.14915975865922 13.12770034959445, 80.15365133507981 13.12770034959445))",13.129887427523347,80.15140554686951,,,,3675.581,,291.011,3896.479,152.907,0.517,0.0,4119.499,0.517
Chennai_48,"POLYGON ((80.15365133507981 13.132074505452245, 80.15365133507981 13.136448583404524, 80.14915975865922 13.136448583404524, 80.14915975865922 13.132074505452245, 80.15365133507981 13.132074505452245))",13.134261544428384,80.15140554686951,,,,2543.329,,175.165,2419.335,152.907,0.517,0.0,2871.401,0.517
Chennai_49,"POLYGON ((80.15365133507981 13.136448583404524, 80.15365133507981 13.140822583427186, 80.14915975865922 13.140822583427186, 80.14915975865922 13.136448583404524, 80.15365133507981 13.136448583404524))",13.138635583415855,80.15140554686951,,,,1174.681,,114.671,1583.833,189.578,0.628,0.0,1478.93,0.628
Chennai_50,"POLYGON ((80.15365133507981 13.140822583427186, 80.15365133507981 13.145196505496124, 80.14915975865922 13.145196505496124, 80.14915975865922 13.140822583427186, 80.15365133507981 13.140822583427186))",13.143009544461657,80.15140554686951,,,,629.127,,0.0,0.0,15.372,0.072,0.0,644.499,0.072
Chennai_51,"POLYGON ((80.15814291150042 13.009568781289238, 80.15814291150042 13.013945031476187, 80.15365133507981 13.013945031476187, 80.15365133507981 13.009568781289238, 80.15814291150042 13.009568781289238))",13.011756906382715,80.15589712329012,,,,3828.918,,159.706,1977.846,39.74,0.136,0.0,4028.364,0.136
Chennai_52,"POLYGON ((80.15814291150042 13.013945031476187, 80.15814291150042 13.018321204409295, 80.15365133507981 13.018321204409295, 80.15365133507981 13.013945031476187, 80.15814291150042 13.013945031476187))",13.01613311794274,80.15589712329012,,,,4816.304,,208.739,2585.142,226.887,0.753,0.0,5251.93,0.753
Chennai_53,"POLYGON ((80.15814291150042 13.018321204409295, 80.15814291150042 13.02269730006439, 80.15365133507981 13.02269730006439, 80.15365133507981 13.018321204409295, 80.15814291150042 13.018321204409295))",13.020509252236844,80.1558971232901,,,,5925.102,,333.396,4037.812,203.163,0.686,0.0,6461.661,0.686
Chennai_54,"POLYGON ((80.15814291150042 13.02269730006439, 80.15814291150042 13.02707331841732, 80.15365133507981 13.02707331841732, 80.15365133507981 13.02269730006439, 80.15814291150042 13.02269730006439))",13.024885309240855,80.15589712329012,,,,5516.836,,359.915,4358.987,230.116,0.75,0.0,6106.867,0.75
Chennai_55,"POLYGON ((80.15814291150042 13.02707331841732, 80.15814291150042 13.031449259443916, 80.15365133507981 13.031449259443916, 80.15365133507981 13.02707331841732, 80.15814291150042 13.02707331841732))",13.029261288930618,80.1558971232901,,,,4741.536,,324.901,3835.917,230.116,0.75,0.0,5296.553,0.75
Chennai_56,"POLYGON ((80.15814291150042 13.031449259443916, 80.15814291150042 13.035825123120024, 80.15365133507981 13.035825123120024, 80.15365133507981 13.031449259443916, 80.15814291150042 13.031449259443916))",13.033637191281967,80.15589712329012,,,,5181.56,,285.164,3366.796,312.687,0.909,0.005,5779.411,0.914
Chennai_57,"POLYGON ((80.15814291150042 13.035825123120024, 80.15814291150042 13.040200909421484, 80.15365133507981 13.040200909421484, 80.15365133507981 13.035825123120024, 80.15814291150042 13.035825123120024))",13.038013016270755,80.15589712329012,,,,5091.997,,367.81,4260.493,335.411,0.914,0.012,5795.218,0.926
Chennai_58,"POLYGON ((80.15814291150042 13.040200909421484, 80.15814291150042 13.044576618324145, 80.15365133507981 13.044576618324145, 80.15365133507981 13.040200909421484, 80.15814291150042 13.040200909421484))",13.042388763872813,80.15589712329012,,,,3957.426,,224.046,2595.2,64.616,0.214,0.0,4246.088,0.214
Chennai_59,"POLYGON ((80.15814291150042 13.079579500290917, 80.15814291150042 13.083954511517826, 80.15365133507981 13.083954511517826, 80.15365133507981 13.079579500290917, 80.15814291150042 13.079579500290917))",13.081767005904371,80.15589712329012,,,,2932.852,,367.862,4399.395,76.592,0.242,0.0,3377.306,0.242
Chennai_60,"POLYGON ((80.15814291150042 13.083954511517826, 80.15814291150042 13.088329445104517, 80.15365133507981 13.088329445104517, 80.15365133507981 13.083954511517826, 80.15814291150042 13.083954511517826))",13.08614197831117,80.15589712329012,,,,2500.299,,256.555,3068.151,76.602,0.24,0.0,2833.456,0.24
Chennai_61,"POLYGON ((80.15814291150042 13.088329445104517, 80.15814291150042 13.092704301026865, 80.15365133507981 13.092704301026865, 80.15365133507981 13.088329445104517, 80.15814291150042 13.088329445104517))",13.090516873065692,80.15589712329012,,,,3110.62,,176.197,2150.366,124.775,0.406,0.0,3411.592,0.406
Chennai_62,"POLYGON ((80.15814291150042 13.092704301026865, 80.15814291150042 13.09707907926074, 80.15365133507981 13.09707907926074, 80.15365133507981 13.092704301026865, 80.15814291150042 13.092704301026865))",13.094891690143804,80.15589712329012,,,,3750.71,,216.844,2646.382,141.491,0.481,0.0,4109.045,0.481
Chennai_63,"POLYGON ((80.15814291150042 13.09707907926074, 80.15814291150042 13.101453779782018, 80.15365133507981 13.101453779782018, 80.15365133507981 13.09707907926074, 80.15814291150042 13.09707907926074))",13.09926642952138,80.15589712329012,,,,3897.741,,69.184,861.34,141.491,0.481,0.0,4108.416,0.481
Chennai_64,"POLYGON ((80.15814291150042 13.101453779782018, 80.15814291150042 13.105828402566576, 80.15365133507981 13.105828402566576, 80.15365133507981 13.101453779782018, 80.15814291150042 13.101453779782018))",13.103641091174296,80.1558971232901,,,,3863.648,,266.947,3323.339,225.01,0.617,0.0,4355.605,0.617
Chennai_65,"POLYGON ((80.15814291150042 13.105828402566576, 80.15814291150042 13.110202947590297, 80.15365133507981 13.110202947590297, 80.15365133507981 13.105828402566576, 80.15814291150042 13.105828402566576))",13.108015675078436,80.15589712329012,,,,3782.526,,352.895,4436.072,204.442,0.652,0.0,4339.863,0.652
Chennai_66,"POLYGON ((80.15814291150042 13.110202947590297, 80.15814291150042 13.114577414829057, 80.15365133507981 13.114577414829057, 80.15365133507981 13.110202947590297, 80.15814291150042 13.110202947590297))",13.112390181209676,80.15589712329012,,,,3898.386,,302.49,3802.494,139.971,0.463,0.0,4340.847,0.463
Chennai_67,"POLYGON ((80.15814291150042 13.114577414829057, 80.15814291150042 13.118951804258746, 80.15365133507981 13.118951804258746, 80.15365133507981 13.114577414829057, 80.15814291150042 13.114577414829057))",13.116764609543901,80.15589712329012,,,,4196.218,,342.45,4450.716,244.162,0.797,0.0,4782.83,0.797
Chennai_68,"POLYGON ((80.15814291150042 13.118951804258746, 80.15814291150042 13.123326115855248, 80.15365133507981 13.123326115855248, 80.15365133507981 13.118951804258746, 80.15814291150042 13.118951804258746))",13.121138960056996,80.15589712329012,,,,4263.905,,260.426,3384.841,183.718,0.603,0.0,4708.049,0.603
Chennai_69,"POLYGON ((80.15814291150042 13.123326115855248, 80.15814291150042 13.12770034959445, 80.15365133507981 13.12770034959445, 80.15365133507981 13.123326115855248, 80.15814291150042 13.123326115855248))",13.125513232724847,80.15589712329012,,,,4192.472,,279.798,3746.559,281.728,0.858,0.0,4753.998,0.858
Chennai_70,"POLYGON ((80.15814291150042 13.12770034959445, 80.15814291150042 13.132074505452245, 80.15365133507981 13.132074505452245, 80.15365133507981 13.12770034959445, 80.15814291150042 13.12770034959445))",13.129887427523347,80.15589712329012,,,,4204.577,,302.923,4056.091,200.479,0.65,0.0,4707.979,0.65
Chennai_71,"POLYGON ((80.15814291150042 13.132074505452245, 80.15814291150042 13.136448583404524, 80.15365133507981 13.136448583404524, 80.15365133507981 13.132074505452245, 80.15814291150042 13.132074505452245))",13.134261544428384,80.15589712329012,,,,3246.842,,207.324,2863.47,200.479,0.65,0.0,3654.645,0.65
Chennai_72,"POLYGON ((80.15814291150042 13.136448583404524, 80.15814291150042 13.140822583427186, 80.15365133507981 13.140822583427186, 80.15365133507981 13.136448583404524, 80.15814291150042 13.136448583404524))",13.138635583415855,80.15589712329012,,,,1659.844,,205.822,2842.748,257.808,0.836,0.0,2123.474,0.836
Chennai_73,"POLYGON ((80.15814291150042 13.140822583427186, 80.15814291150042 13.145196505496124, 80.15365133507981 13.145196505496124, 80.15365133507981 13.140822583427186, 80.15814291150042 13.140822583427186))",13.143009544461655,80.15589712329012,,,,739.253,,3.81,54.158,55.849,0.165,0.0,798.912,0.165
Chennai_74,"POLYGON ((80.16263448792101 12.992063008486394, 80.16263448792101 12.996439567447018, 80.15814291150042 12.996439567447018, 80.15814291150042 12.992063008486394, 80.16263448792101 12.992063008486394))",12.994251287966707,80.16038869971072,,,,1901.062,,1.252,16.177,0.0,0.0,0.0,1902.314,0.0
Chennai_75,"POLYGON ((80.16263448792101 12.996439567447018, 80.16263448792101 13.000816049250483, 80.15814291150042 13.000816049250483, 80.15814291150042 12.996439567447018, 80.16263448792101 12.996439567447018))",12.998627808348749,80.16038869971071,,,,2034.425,,5.192,65.188,0.0,0.0,0.0,2039.617,0.0
Chennai_76,"POLYGON ((80.16263448792101 13.000816049250483, 80.16263448792101 13.005192453872613, 80.15814291150042 13.005192453872613, 80.15814291150042 13.000816049250483, 80.16263448792101 13.000816049250483))",13.003004251561546,80.16038869971072,,,,2034.425,,4.075,51.011,0.0,0.0,0.0,2038.5,0.0
Chennai_77,"POLYGON ((80.16263448792101 13.005192453872613, 80.16263448792101 13.009568781289238, 80.15814291150042 13.009568781289238, 80.15814291150042 13.005192453872613, 80.16263448792101 13.005192453872613))",13.007380617580926,80.16038869971072,,,,2302.84,,0.0,0.0,2.362,0.0,0.0,2305.202,0.0
Chennai_78,"POLYGON ((80.16263448792101 13.009568781289238, 80.16263448792101 13.013945031476187, 80.15814291150042 13.013945031476187, 80.15814291150042 13.009568781289238, 80.16263448792101 13.009568781289238))",13.011756906382711,80.16038869971072,,,,3577.079,,90.586,1116.023,43.019,0.136,0.0,3710.684,0.136
Chennai_79,"POLYGON ((80.16263448792101 13.013945031476187, 80.16263448792101 13.018321204409295, 80.15814291150042 13.018321204409295, 80.15814291150042 13.013945031476187, 80.16263448792101 13.013945031476187))",13.016133117942742,80.16038869971072,,,,4754.524,,224.199,2762.149,216.68,0.727,0.0,5195.403,0.727
Chennai_80,"POLYGON ((80.16263448792101 13.018321204409295, 80.16263448792101 13.02269730006439, 80.15814291150042 13.02269730006439, 80.15814291150042 13.018321204409295, 80.16263448792101 13.018321204409295))",13.020509252236844,80.16038869971071,,,,6076.751,,293.084,3511.824,181.722,0.61,0.0,6551.557,0.61
Chennai_81,"POLYGON ((80.16263448792101 13.02269730006439, 80.16263448792101 13.02707331841732, 80.15814291150042 13.02707331841732, 80.15814291150042 13.02269730006439, 80.16263448792101 13.02269730006439))",13.024885309240856,80.16038869971071,,,,5282.175,,392.913,4708.008,207.758,0.678,0.0,5882.846,0.678
Chennai_82,"POLYGON ((80.16263448792101 13.02707331841732, 80.16263448792101 13.031449259443916, 80.15814291150042 13.031449259443916, 80.15814291150042 13.02707331841732, 80.16263448792101 13.02707331841732))",13.029261288930618,80.16038869971072,,,,5283.012,,355.248,4161.434,207.758,0.678,0.0,5846.018,0.678
Chennai_83,"POLYGON ((80.16263448792101 13.031449259443916, 80.16263448792101 13.035825123120024, 80.15814291150042 13.035825123120024, 80.15814291150042 13.031449259443916, 80.16263448792101 13.031449259443916))",13.03363719128197,80.16038869971071,,,,6924.486,,270.432,3167.882,284.43,0.86,0.002,7479.348,0.862
Chennai_84,"POLYGON ((80.16263448792101 13.035825123120024, 80.16263448792101 13.040200909421484, 80.15814291150042 13.040200909421484, 80.15814291150042 13.035825123120024, 80.16263448792101 13.035825123120024))",13.038013016270753,80.16038869971072,,,,5813.79,,291.919,3364.104,198.897,0.582,0.0,6304.606,0.582
