date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25
2020-01-01,26922.139,22044.604,,1718.369,11039.125,,,Chennai,,
2020-01-02,27133.223,22236.402,,1832.433,11025.935,,,Chennai,,
2020-01-03,27408.552,22684.342,,1895.911,11090.866,,,Chennai,,
2020-01-04,29419.359,22846.876,,1971.405,11105.953,,,Chennai,,
2020-01-05,27895.331,21932.966,,1356.69,11109.19,,,Chennai,,
2020-01-06,28085.3,22055.924,,1407.715,11017.881,,,Chennai,,
2020-01-07,28991.077,22507.823,,1901.168,11029.909,,,Chennai,,
2020-01-08,28896.447,22508.409,,1811.644,11081.842,,,Chennai,,
2020-01-09,28205.625,22067.579,,1733.341,10992.608,,,Chennai,,
2020-01-10,26066.758,21975.298,,0.0,11029.289,,,Chennai,,
2020-01-11,27095.732,22285.549,,0.0,11012.852,,,Chennai,,
2020-01-12,29314.411,22252.055,,1995.682,11101.249,,,Chennai,,
2020-01-13,29450.714,22590.748,,1911.851,10994.486,,,Chennai,,
2020-01-14,27902.206,22074.451,,1720.648,10923.467,,,Chennai,,
2020-01-15,26847.730000000003,21153.504,,1607.86,10919.865,,,Chennai,,
2020-01-16,25737.509,20819.663,,708.142,10935.784,,,Chennai,,
2020-01-17,26553.304000000004,21816.824,,747.775,11012.874,,,Chennai,,
2020-01-18,28494.468,21915.0,,1748.736,11025.321,,,Chennai,,
2020-01-19,27690.769,20964.978,,1854.278,10990.898,,,Chennai,,
2020-01-20,28678.873,22009.814,,1754.282,11010.698,,,Chennai,,
2020-01-21,28857.938,22240.069,,1674.137,11000.513,,,Chennai,,
2020-01-22,28559.565,21785.822,,1839.464,11020.493,,,Chennai,,
2020-01-23,28799.231,22040.883,,1842.783,11023.012,,,Chennai,,
2020-01-24,28532.919,22512.793,,1657.462,10963.751,,,Chennai,,
2020-01-25,29435.391,22789.79,,1709.425,10965.27,,,Chennai,,
2020-01-26,28142.748,21739.952,,1782.783,11008.841,,,Chennai,,
2020-01-27,27634.419,22727.332,,0.0,11060.335,,,Chennai,,
2020-01-28,29955.288,23053.799,,2036.022,11078.856,,,Chennai,,
2020-01-29,30149.924,23327.39,,1847.941,11056.687,,,Chennai,,
2020-01-30,30315.019,23634.849,,1656.379,11054.9,,,Chennai,,
2020-01-31,29986.836,23474.404,,1761.466,11080.756,,,Chennai,,
2020-02-01,29778.389000000003,22898.775,,1761.466,11110.353,,,Chennai,,
2020-02-02,28056.839,21770.13,,1156.788,11067.37,,,Chennai,,
2020-02-03,29303.77,22520.626,,1703.41,10967.642,,,Chennai,,
2020-02-04,29927.306,23050.738,,1797.124,11062.38,,,Chennai,,
2020-02-05,29809.696,23018.284,,1733.974,11064.07,,,Chennai,,
2020-02-06,29690.297,23032.835,,1649.803,11044.813,,,Chennai,,
2020-02-07,29456.627,23335.837,,1685.649,11115.773,,,Chennai,,
2020-02-08,29366.385,22547.724,,1815.813,11097.713,,,Chennai,,
2020-02-09,28895.114,21966.167,,1897.46,11118.423,,,Chennai,,
2020-02-10,29140.369,22395.853,,1735.421,11099.909,,,Chennai,,
2020-02-11,29295.361,22373.836,,1913.01,11039.602,,,Chennai,,
2020-02-12,27526.067,22521.837,,0.0,11087.093,,,Chennai,,
2020-02-13,30247.051,23421.132,,1893.728,11005.982,,,Chennai,,
2020-02-14,29749.375,23454.253,,1979.381,10981.311,,,Chennai,,
2020-02-15,30495.916,23768.452,,1979.381,11072.976,,,Chennai,,
2020-02-16,29049.04,22692.407,,1658.56,11071.831,,,Chennai,,
2020-02-17,29818.701,23286.257,,1729.136,11004.006,,,Chennai,,
2020-02-18,28721.11,23771.236,,118.194,11005.472,,,Chennai,,
2020-02-19,29914.732000000004,23670.805,,1453.114,10924.891,,,Chennai,,
2020-02-20,29613.155,22974.432,,1890.081,10874.612,,,Chennai,,
2020-02-21,27788.873,21854.818,,1964.359,10913.011,,,Chennai,,
2020-02-22,29029.445000000003,22132.417,,2235.914,10935.422,,,Chennai,,
2020-02-23,28508.248,21442.199,,2388.673,10945.121,,,Chennai,,
2020-02-24,26873.092,22197.244,,0.0,10927.894,,,Chennai,,
