date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25
2020-01-01,95964.466,85492.963,,0.273,21133.855,,,Delhi,,
2020-01-02,99254.464,86047.495,,3300.656,21248.149,,,Delhi,,
2020-01-03,101125.445,87556.487,,4095.151,21417.429,,,Delhi,,
2020-01-04,100291.812,87441.837,,4311.66,21051.715,,,Delhi,,
2020-01-05,95598.777,84148.924,,2892.236,20777.356,,,Delhi,,
2020-01-06,93116.638,84526.669,,75.804,21178.414,,,Delhi,,
2020-01-07,95349.797,86376.719,,311.099,22101.787,,,Delhi,,
2020-01-08,96789.68,86586.78,,1613.174,22782.371,,,Delhi,,
2020-01-09,97823.171,84698.008,,4685.057,21238.142,,,Delhi,,
2020-01-10,96004.493,83556.114,,4754.394,21108.864,,,Delhi,,
2020-01-11,98237.221,84776.499,,4912.539,20818.165,,,Delhi,,
2020-01-12,94403.298,85199.493,,412.735,21044.267,,,Delhi,,
2020-01-13,94556.441,85900.668,,0.0,21829.782,,,Delhi,,
2020-01-14,98322.185,85019.79,,4693.084,22095.353,,,Delhi,,
2020-01-15,94561.839,82928.701,,3162.383,21096.544,,,Delhi,,
2020-01-16,92970.395,82830.383,,1554.336,22172.525,,,Delhi,,
2020-01-17,98706.297,86680.187,,4490.249,22325.364,,,Delhi,,
2020-01-18,98120.099,85976.667,,3437.077,22126.729,,,Delhi,,
2020-01-19,96642.49,83197.944,,4723.948,21921.825,,,Delhi,,
2020-01-20,94159.008,85426.278,,2.25,21874.885,,,Delhi,,
2020-01-21,100056.001,86563.607,,4743.642,21785.173,,,Delhi,,
2020-01-22,97845.607,84090.281,,4957.803,21440.991,,,Delhi,,
2020-01-23,98544.748,85082.182,,4514.012,20064.679,,,Delhi,,
2020-01-24,99838.946,87408.666,,4431.494,19764.29,,,Delhi,,
2020-01-25,101494.237,88358.284,,4990.961,20987.309,,,Delhi,,
2020-01-26,94221.867,84358.134,,3216.277,21391.68,,,Delhi,,
2020-01-27,96591.65099999998,86423.021,,1944.525,21344.195,,,Delhi,,
2020-01-28,100490.223,87550.339,,3937.493,22182.241,,,Delhi,,
2020-01-29,100659.392,87801.381,,3799.839,21626.503,,,Delhi,,
2020-01-30,101326.664,88269.174,,4357.286,20983.516,,,Delhi,,
2020-01-31,100799.003,87993.284,,4425.429,21274.531,,,Delhi,,
2020-02-01,99858.524,86298.276,,4425.429,21132.464,,,Delhi,,
2020-02-02,96214.146,82455.849,,4729.124,21235.105,,,Delhi,,
2020-02-03,98971.51,84746.389,,5129.43,20757.443,,,Delhi,,
2020-02-04,99953.268,86724.907,,3961.928,20983.93,,,Delhi,,
2020-02-05,95944.276,86711.011,,58.813,20896.095,,,Delhi,,
2020-02-06,100891.87,86757.864,,5252.143,20906.949,,,Delhi,,
2020-02-07,101600.128,87981.352,,4853.139,20809.373,,,Delhi,,
2020-02-08,98598.886,85197.078,,4689.838,20934.154,,,Delhi,,
2020-02-09,96617.23500000002,83310.024,,4546.971,20817.476,,,Delhi,,
2020-02-10,98140.887,84624.375,,4826.404,20796.396,,,Delhi,,
2020-02-11,98872.46,85283.546,,4871.646,20544.15,,,Delhi,,
2020-02-12,98204.316,86148.278,,3136.96,19962.628,,,Delhi,,
2020-02-13,103112.513,89219.821,,4838.238,19701.767,,,Delhi,,
2020-02-14,101766.891,88705.532,,4269.864,18953.802,,,Delhi,,
2020-02-15,102532.18,89219.475,,4269.864,18963.515,,,Delhi,,
2020-02-16,99196.483,85667.961,,4538.954,19691.367,,,Delhi,,
2020-02-17,101362.041,87847.668,,4358.038,18944.512,,,Delhi,,
2020-02-18,101818.06,89588.077,,3257.88,18906.197,,,Delhi,,
2020-02-19,97738.574,88684.48,,0.0,19111.047,,,Delhi,,
2020-02-20,101412.088,87025.378,,4952.217,20041.891,,,Delhi,,
2020-02-21,93687.863,84092.46,,868.472,22329.32,,,Delhi,,
2020-02-22,97796.028,84945.474,,3666.002,21586.196,,,Delhi,,
2020-02-23,97175.742,82871.453,,5111.032,21585.217,,,Delhi,,
2020-02-24,99126.05599999998,85743.851,,4086.256,20970.98,,,Delhi,,
2020-02-25,101976.225,87170.63,,5349.316,20642.707,,,Delhi,,
2020-02-26,103132.647,88126.74,,5565.486,20695.122,,,Delhi,,
2020-02-27,97345.669,86867.364,,546.176,20512.094,,,Delhi,,
2020-02-28,96780.114,86184.452,,1477.487,20897.536,,,Delhi,,
2020-02-29,95892.092,85070.912,,1703.005,21738.011,,,Delhi,,
2020-03-01,98010.94299999998,83982.264,,4571.294,21476.858,,,Delhi,,
2020-03-02,100643.447,85541.924,,5350.033,21268.554,,,Delhi,,
2020-03-03,101221.846,86819.985,,4585.747,20228.158,,,Delhi,,
2020-03-04,96965.173,85469.304,,1675.801,20996.008,,,Delhi,,
2020-03-05,97568.365,83624.811,,4293.135,21688.278,,,Delhi,,
2020-03-06,97197.735,83568.519,,3566.353,22372.939,,,Delhi,,
2020-03-07,97474.619,85266.525,,2808.586,21642.255,,,Delhi,,
2020-03-08,96843.897,82813.425,,4549.175,20934.116,,,Delhi,,
2020-03-09,95117.679,82079.846,,3535.169,20066.852,,,Delhi,,
2020-03-10,88169.261,75456.538,,3255.755,19959.491,,,Delhi,,
2020-03-11,87799.90599999999,78482.703,,0.0,20868.104,,,Delhi,,
2020-03-12,96954.631,83173.047,,4350.757,20045.531,,,Delhi,,
2020-03-13,97396.835,84100.384,,3460.303,20700.858,,,Delhi,,
2020-03-14,96318.434,83567.977,,3460.303,21937.138,,,Delhi,,
2020-03-15,95217.961,81048.43,,4638.797,20883.435,,,Delhi,,
2020-03-16,93475.768,83782.11,,203.804,20480.853,,,Delhi,,
2020-03-17,100036.571,86216.467,,4420.867,20013.513,,,Delhi,,
2020-03-18,100028.907,86309.081,,4225.235,20274.296,,,Delhi,,
2020-03-19,110573.485,96516.506,,4516.31,20559.062,,,Delhi,,
2020-03-20,105256.351,95440.109,,0.0,20400.666,,,Delhi,,
2020-03-21,101362.835,91542.617,,839.595,21033.104,,,Delhi,,
2020-03-22,103534.281,90028.397,,4507.111,20124.29,,,Delhi,,
2020-03-23,102018.302,88537.553,,4691.104,20123.262,,,Delhi,,
2020-03-24,105667.76,92189.063,,4722.365,20905.505,,,Delhi,,
2020-03-25,106308.602,95486.72,,2466.102,19987.041,,,Delhi,,
2020-03-26,105321.401,97098.878,,0.0,20213.092,,,Delhi,,
2020-03-27,105629.966,96402.22,,441.722,21596.186,,,Delhi,,
2020-03-28,107453.539,95793.307,,4100.092,20626.465,,,Delhi,,
2020-03-29,101572.886,92456.201,,3940.609,19345.761,,,Delhi,,
2020-03-30,101828.287,90385.98,,3822.018,19419.058,,,Delhi,,
2020-03-31,98049.681,89951.71,,12.407,19495.38,,,Delhi,,
2020-04-01,104253.969,94463.362,,745.685,19117.177,,,Delhi,,
2020-04-02,109476.674,96598.109,,4082.815,18744.525,,,Delhi,,
2020-04-03,109965.194,97281.394,,3007.508,18732.257,,,Delhi,,
2020-04-04,109448.382,96627.366,,4054.897,18766.677,,,Delhi,,
2020-04-05,101555.58,92594.897,,10.2,19040.079,,,Delhi,,
2020-04-06,106739.325,97655.621,,0.0,19433.142,,,Delhi,,
2020-04-07,113305.334,98544.387,,5529.718,19211.119,,,Delhi,,
2020-04-08,111581.726,98188.285,,4201.503,19060.048,,,Delhi,,
2020-04-09,111475.58999999998,98502.358,,3840.737,19054.627,,,Delhi,,
2020-04-10,112177.831,99305.522,,3052.471,19420.48,,,Delhi,,
2020-04-11,105724.948,96854.846,,24.978,19688.953,,,Delhi,,
2020-04-12,108562.699,95100.826,,3898.378,19717.097,,,Delhi,,
2020-04-13,114617.066,100873.954,,4586.164,20159.451,,,Delhi,,
2020-04-14,112412.718,98653.781,,4669.379,20447.128,,,Delhi,,
2020-04-15,111278.993,98264.02,,4025.322,20119.089,,,Delhi,,
2020-04-16,108067.794,95041.337,,3915.786,20429.883,,,Delhi,,
2020-04-17,104492.89,94348.585,,3078.344,20104.071,,,Delhi,,
2020-04-18,104479.516,93357.895,,4413.059,19940.786,,,Delhi,,
2020-04-19,103021.054,89877.028,,4198.904,19749.641,,,Delhi,,
2020-04-20,108739.914,97494.119,,4088.343,19358.461,,,Delhi,,
2020-04-21,104777.77999999998,97120.514,,629.616,19520.689,,,Delhi,,
2020-04-22,105901.061,94662.185,,4121.121,19778.604,,,Delhi,,
2020-04-23,103261.976,96119.3,,0.061,19898.007,,,Delhi,,
2020-04-24,109931.871,97623.456,,4878.432,20069.407,,,Delhi,,
2020-04-25,106852.903,96118.176,,3623.562,19782.548,,,Delhi,,
2020-04-26,106331.21300000002,94441.403,,4533.706,20462.795,,,Delhi,,
2020-04-27,108021.47,98098.799,,2584.408,21083.962,,,Delhi,,
2020-04-28,110718.518,98017.634,,5221.599,20632.772,,,Delhi,,
2020-04-29,110849.874,98162.405,,5263.91,20295.505,,,Delhi,,
2020-04-30,107434.381,96285.27,,3653.181,20359.209,,,Delhi,,
2020-05-01,98166.381,91034.283,,344.533,20140.402,,,Delhi,,
2020-05-02,99071.337,91314.395,,1695.291,20467.61,,,Delhi,,
2020-05-03,98536.868,89562.645,,2735.953,20309.31,,,Delhi,,
2020-05-04,102719.353,91902.777,,4501.053,20435.735,,,Delhi,,
2020-05-05,102698.739,91924.12,,4577.595,19610.955,,,Delhi,,
2020-05-06,99804.8,93293.421,,248.739,19463.517,,,Delhi,,
2020-05-07,102452.141,96121.801,,0.0,19747.108,,,Delhi,,
2020-05-08,102790.391,95778.243,,14.42,20019.53,,,Delhi,,
2020-05-09,106779.923,94575.057,,5641.899,19967.579,,,Delhi,,
2020-05-10,97319.009,90925.234,,0.0,20270.04,,,Delhi,,
2020-05-11,97251.289,89577.425,,1291.356,20118.818,,,Delhi,,
2020-05-12,101120.222,90151.387,,4609.455,20093.255,,,Delhi,,
2020-05-13,97678.007,89852.383,,1429.745,19974.106,,,Delhi,,
2020-05-14,101040.003,89346.518,,5337.592,20225.307,,,Delhi,,
2020-05-15,101532.057,89599.907,,5015.146,19952.503,,,Delhi,,
2020-05-16,100170.714,88772.558,,4876.449,19939.301,,,Delhi,,
2020-05-17,101100.921,89338.37,,5216.916,20102.096,,,Delhi,,
2020-05-18,94760.166,84034.326,,4143.932,19849.272,,,Delhi,,
2020-05-19,101227.02,87713.892,,6794.364,19942.105,,,Delhi,,
2020-05-20,101955.096,89909.152,,5340.291,19885.374,,,Delhi,,
2020-05-21,99359.75,86816.744,,5942.382,20047.951,,,Delhi,,
2020-05-22,98243.627,85563.536,,5424.107,20219.791,,,Delhi,,
2020-05-23,97093.379,88163.375,,2165.131,20443.07,,,Delhi,,
2020-05-24,99212.687,90419.353,,1779.796,20695.601,,,Delhi,,
2020-05-25,98775.403,86258.226,,5612.599,20768.566,,,Delhi,,
2020-05-26,103530.846,88610.186,,8157.879,21065.759,,,Delhi,,
