index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Delhi_0,"POLYGON ((76.84344066921369 28.550784705800183, 76.84344066921369 28.554730004915516, 76.8389490927931 28.554730004915516, 76.8389490927931 28.550784705800183, 76.84344066921369 28.550784705800183))",28.552757355357848,76.8411948810034,,,,317.2,,0.0,0.0,0.0,0.0,0.0,317.2,0.0
Delhi_1,"POLYGON ((76.84344066921369 28.554730004915516, 76.84344066921369 28.55867515619694, 76.8389490927931 28.55867515619694, 76.8389490927931 28.554730004915516, 76.84344066921369 28.554730004915516))",28.556702580556227,76.84119488100339,,,,371.407,,0.048,0.365,0.0,0.0,0.0,371.455,0.0
Delhi_2,"POLYGON ((76.84344066921369 28.55867515619694, 76.84344066921369 28.5626201596313, 76.8389490927931 28.5626201596313, 76.8389490927931 28.55867515619694, 76.84344066921369 28.55867515619694))",28.560647657914124,76.8411948810034,,,,692.551,,19.649,68.138,0.0,0.0,0.0,712.2,0.0
Delhi_3,"POLYGON ((76.84344066921369 28.5626201596313, 76.84344066921369 28.56656501520543, 76.8389490927931 28.56656501520543, 76.8389490927931 28.5626201596313, 76.84344066921369 28.5626201596313))",28.564592587418364,76.84119488100339,,,,888.83,,4.758,16.486,0.0,0.0,0.0,893.588,0.0
Delhi_4,"POLYGON ((76.84344066921369 28.56656501520543, 76.84344066921369 28.57050972290617, 76.8389490927931 28.57050972290617, 76.8389490927931 28.56656501520543, 76.84344066921369 28.56656501520543))",28.568537369055807,76.84119488100337,,,,580.204,,0.956,3.318,0.694,0.0,0.0,581.854,0.0
Delhi_5,"POLYGON ((76.84344066921369 28.57050972290617, 76.84344066921369 28.57445428272037, 76.8389490927931 28.57445428272037, 76.8389490927931 28.57050972290617, 76.84344066921369 28.57050972290617))",28.57248200281327,76.84119488100339,,,,310.981,,0.0,0.0,0.607,0.0,0.0,311.588,0.0
Delhi_6,"POLYGON ((76.84344066921369 28.57445428272037, 76.84344066921369 28.578398694634885, 76.8389490927931 28.578398694634885, 76.8389490927931 28.57445428272037, 76.84344066921369 28.57445428272037))",28.576426488677626,76.84119488100339,,,,294.655,,0.642,2.297,0.607,0.0,0.0,295.904,0.0
Delhi_7,"POLYGON ((76.84344066921369 28.578398694634885, 76.84344066921369 28.58234295863656, 76.8389490927931 28.58234295863656, 76.8389490927931 28.578398694634885, 76.84344066921369 28.578398694634885))",28.58037082663572,76.84119488100339,,,,288.091,,0.0,0.0,0.0,0.0,0.0,288.091,0.0
Delhi_8,"POLYGON ((76.84344066921369 28.58234295863656, 76.84344066921369 28.586287074712242, 76.8389490927931 28.586287074712242, 76.8389490927931 28.58234295863656, 76.84344066921369 28.58234295863656))",28.5843150166744,76.84119488100337,,,,288.091,,0.107,0.599,1.136,0.0,0.0,289.334,0.0
Delhi_9,"POLYGON ((76.8479322456343 28.546839258864125, 76.8479322456343 28.550784705800183, 76.84344066921369 28.550784705800183, 76.84344066921369 28.546839258864125, 76.8479322456343 28.546839258864125))",28.548811982332154,76.845686457424,,,,339.709,,0.0,0.0,0.0,0.0,0.0,339.709,0.0
Delhi_10,"POLYGON ((76.8479322456343 28.550784705800183, 76.8479322456343 28.554730004915516, 76.84344066921369 28.554730004915516, 76.84344066921369 28.550784705800183, 76.8479322456343 28.550784705800183))",28.552757355357848,76.84568645742398,,,,339.709,,0.594,2.19,0.0,0.0,0.0,340.303,0.0
Delhi_11,"POLYGON ((76.8479322456343 28.554730004915516, 76.8479322456343 28.55867515619694, 76.84344066921369 28.55867515619694, 76.84344066921369 28.554730004915516, 76.8479322456343 28.554730004915516))",28.556702580556223,76.845686457424,,,,377.816,,0.984,3.442,0.0,0.0,0.0,378.8,0.0
Delhi_12,"POLYGON ((76.8479322456343 28.55867515619694, 76.8479322456343 28.5626201596313, 76.84344066921369 28.5626201596313, 76.84344066921369 28.55867515619694, 76.8479322456343 28.55867515619694))",28.560647657914128,76.845686457424,,,,867.351,,5.456,18.9,12.543,0.0,0.0,885.35,0.0
