index,geometry,lat,lon,avation,brick_kiln,industrial,power,power_pm25,residential_scope1,residential_scope2,traffic,traffic_NOx,traffic_pm25,total_co2,total_pollutant
Mumbai_0,"POLYGON ((72.78063992303824 19.203636323970663, 72.78063992303824 19.207877914161777, 72.77614834661763 19.207877914161777, 72.77614834661763 19.203636323970663, 72.78063992303824 19.203636323970663))",19.20575711906622,72.77839413482793,,,,759.906,,0.894,13.549,0.0,0.0,0.0,760.8,0.0
Mumbai_1,"POLYGON ((72.78063992303824 19.207877914161777, 72.78063992303824 19.21211939495964, 72.77614834661763 19.21211939495964, 72.77614834661763 19.207877914161777, 72.78063992303824 19.207877914161777))",19.209998654560707,72.77839413482793,,,,858.169,,0.0,0.0,0.0,0.0,0.0,858.169,0.0
Mumbai_2,"POLYGON ((72.78063992303824 19.216360766343826, 72.78063992303824 19.22060202829392, 72.77614834661763 19.22060202829392, 72.77614834661763 19.216360766343826, 72.78063992303824 19.216360766343826))",19.218481397318875,72.77839413482793,,,,559.742,,0.174,2.83,0.0,0.0,0.0,559.916,0.0
Mumbai_3,"POLYGON ((72.78063992303824 19.22060202829392, 72.78063992303824 19.224843180789513, 72.77614834661763 19.224843180789513, 72.77614834661763 19.22060202829392, 72.78063992303824 19.22060202829392))",19.222722604541715,72.77839413482793,,,,503.164,,0.0,0.0,20.793,0.073,0.0,523.957,0.073
Mumbai_4,"POLYGON ((72.78063992303824 19.224843180789513, 72.78063992303824 19.229084223810172, 72.77614834661763 19.229084223810172, 72.77614834661763 19.224843180789513, 72.78063992303824 19.224843180789513))",19.22696370229984,72.77839413482795,,,,496.818,,5.749,0.0,9.98,0.03,0.0,512.547,0.03
Mumbai_5,"POLYGON ((72.78063992303824 19.229084223810172, 72.78063992303824 19.233325157335507, 72.77614834661763 19.233325157335507, 72.77614834661763 19.229084223810172, 72.78063992303824 19.229084223810172))",19.231204690572838,72.77839413482795,,,,556.109,,0.512,0.0,9.98,0.03,0.0,566.601,0.03
Mumbai_6,"POLYGON ((72.78063992303824 19.233325157335507, 72.78063992303824 19.237565981345103, 72.77614834661763 19.237565981345103, 72.77614834661763 19.233325157335507, 72.78063992303824 19.233325157335507))",19.235445569340307,72.77839413482793,,,,568.16,,6.516,0.0,0.0,0.0,0.0,574.676,0.0
Mumbai_7,"POLYGON ((72.78063992303824 19.237565981345103, 72.78063992303824 19.241806695818546, 72.77614834661763 19.241806695818546, 72.77614834661763 19.237565981345103, 72.78063992303824 19.237565981345103))",19.239686338581826,72.77839413482795,,,,799.841,,10.705,0.0,0.0,0.0,0.0,810.546,0.0
Mumbai_8,"POLYGON ((72.78513149945884 19.152728716441235, 72.78513149945884 19.156971617757396, 72.78063992303824 19.156971617757396, 72.78063992303824 19.152728716441235, 72.78513149945884 19.152728716441235))",19.154850167099315,72.78288571124853,,,,1329.202,,0.376,5.412,0.0,0.0,0.0,1329.578,0.0
Mumbai_9,"POLYGON ((72.78513149945884 19.156971617757396, 72.78513149945884 19.161214409925602, 72.78063992303824 19.161214409925602, 72.78063992303824 19.156971617757396, 72.78513149945884 19.156971617757396))",19.159093013841495,72.78288571124854,,,,1937.143,,42.911,633.929,15.195,0.073,0.0,1995.249,0.073
Mumbai_10,"POLYGON ((72.78513149945884 19.161214409925602, 72.78513149945884 19.16545709292538, 72.78063992303824 19.16545709292538, 72.78063992303824 19.161214409925602, 72.78513149945884 19.161214409925602))",19.163335751425493,72.78288571124855,,,,1618.058,,19.954,294.041,24.582,0.073,0.0,1662.594,0.073
Mumbai_11,"POLYGON ((72.78513149945884 19.16545709292538, 72.78513149945884 19.16969966673629, 72.78063992303824 19.16969966673629, 72.78063992303824 19.16545709292538, 72.78513149945884 19.16545709292538))",19.167578379830836,72.78288571124855,,,,1174.737,,2.208,32.475,5.952,0.0,0.0,1182.897,0.0
Mumbai_12,"POLYGON ((72.78513149945884 19.19091089724208, 72.78513149945884 19.195152815490385, 72.78063992303824 19.195152815490385, 72.78063992303824 19.19091089724208, 72.78513149945884 19.19091089724208))",19.193031856366233,72.78288571124854,,,,629.428,,0.0,0.0,36.387,0.121,0.0,665.815,0.121
Mumbai_13,"POLYGON ((72.78513149945884 19.195152815490385, 72.78513149945884 19.19939462440673, 72.78063992303824 19.19939462440673, 72.78063992303824 19.195152815490385, 72.78513149945884 19.195152815490385))",19.197273719948555,72.78288571124855,,,,702.515,,0.706,10.555,5.288,0.0,0.0,708.509,0.0
Mumbai_14,"POLYGON ((72.78513149945884 19.19939462440673, 72.78513149945884 19.203636323970663, 72.78063992303824 19.203636323970663, 72.78063992303824 19.19939462440673, 72.78513149945884 19.19939462440673))",19.201515474188696,72.78288571124854,,,,1174.659,,0.114,2.383,5.288,0.0,0.0,1180.061,0.0
Mumbai_15,"POLYGON ((72.78513149945884 19.203636323970663, 72.78513149945884 19.207877914161777, 72.78063992303824 19.207877914161777, 72.78063992303824 19.203636323970663, 72.78513149945884 19.203636323970663))",19.20575711906622,72.78288571124854,,,,1174.659,,22.454,334.488,2.451,0.0,0.0,1199.564,0.0
Mumbai_16,"POLYGON ((72.78513149945884 19.207877914161777, 72.78513149945884 19.21211939495964, 72.78063992303824 19.21211939495964, 72.78063992303824 19.207877914161777, 72.78513149945884 19.207877914161777))",19.209998654560707,72.78288571124854,,,,1393.954,,33.51,506.254,158.363,0.556,0.0,1585.827,0.556
Mumbai_17,"POLYGON ((72.78513149945884 19.21211939495964, 72.78513149945884 19.216360766343826, 72.78063992303824 19.216360766343826, 72.78063992303824 19.21211939495964, 72.78513149945884 19.21211939495964))",19.21424008065173,72.78288571124854,,,,996.982,,11.665,176.239,38.297,0.142,0.0,1046.944,0.142
Mumbai_18,"POLYGON ((72.78513149945884 19.216360766343826, 72.78513149945884 19.22060202829392, 72.78063992303824 19.22060202829392, 72.78063992303824 19.216360766343826, 72.78513149945884 19.216360766343826))",19.218481397318875,72.78288571124854,,,,745.203,,8.222,125.711,86.229,0.306,0.0,839.654,0.306
Mumbai_19,"POLYGON ((72.78513149945884 19.22060202829392, 72.78513149945884 19.224843180789513, 72.78063992303824 19.224843180789513, 72.78063992303824 19.22060202829392, 72.78513149945884 19.22060202829392))",19.222722604541715,72.78288571124854,,,,688.318,,2.459,37.535,29.34,0.085,0.0,720.117,0.085
Mumbai_20,"POLYGON ((72.78513149945884 19.224843180789513, 72.78513149945884 19.229084223810172, 72.78063992303824 19.229084223810172, 72.78063992303824 19.224843180789513, 72.78513149945884 19.224843180789513))",19.22696370229984,72.78288571124854,,,,607.787,,0.541,0.0,73.583,0.253,0.0,681.911,0.253
Mumbai_21,"POLYGON ((72.78513149945884 19.229084223810172, 72.78513149945884 19.233325157335507, 72.78063992303824 19.233325157335507, 72.78063992303824 19.229084223810172, 72.78513149945884 19.229084223810172))",19.231204690572838,72.78288571124854,,,,646.112,,9.202,0.0,73.583,0.253,0.0,728.897,0.253
Mumbai_22,"POLYGON ((72.78513149945884 19.233325157335507, 72.78513149945884 19.237565981345103, 72.78063992303824 19.237565981345103, 72.78063992303824 19.233325157335507, 72.78513149945884 19.233325157335507))",19.235445569340307,72.78288571124854,,,,686.557,,32.04,0.0,53.142,0.192,0.0,771.739,0.192
Mumbai_23,"POLYGON ((72.78513149945884 19.237565981345103, 72.78513149945884 19.241806695818546, 72.78063992303824 19.241806695818546, 72.78063992303824 19.237565981345103, 72.78513149945884 19.237565981345103))",19.239686338581826,72.78288571124855,,,,1108.023,,60.105,0.0,118.719,0.437,0.0,1286.847,0.437
Mumbai_24,"POLYGON ((72.78513149945884 19.241806695818546, 72.78513149945884 19.24604730073545, 72.78063992303824 19.24604730073545, 72.78063992303824 19.241806695818546, 72.78513149945884 19.241806695818546))",19.243926998276997,72.78288571124854,,,,759.538,,17.89,0.0,21.512,0.073,0.0,798.94,0.073
Mumbai_25,"POLYGON ((72.78513149945884 19.24604730073545, 72.78513149945884 19.25028779607542, 72.78063992303824 19.25028779607542, 72.78063992303824 19.24604730073545, 72.78513149945884 19.24604730073545))",19.248167548405434,72.78288571124853,,,,550.156,,0.189,0.0,0.0,0.0,0.0,550.345,0.0
Mumbai_26,"POLYGON ((72.78513149945884 19.25028779607542, 72.78513149945884 19.25452818181804, 72.78063992303824 19.25452818181804, 72.78063992303824 19.25028779607542, 72.78513149945884 19.25028779607542))",19.252407988946732,72.78288571124853,,,,539.151,,0.546,0.0,0.0,0.0,0.0,539.697,0.0
Mumbai_27,"POLYGON ((72.78513149945884 19.25452818181804, 72.78513149945884 19.25876845794293, 72.78063992303824 19.25876845794293, 72.78063992303824 19.25452818181804, 72.78513149945884 19.25452818181804))",19.256648319880483,72.78288571124854,,,,548.473,,3.982,0.0,0.0,0.0,0.0,552.455,0.0
Mumbai_28,"POLYGON ((72.78513149945884 19.25876845794293, 72.78513149945884 19.263008624429702, 72.78063992303824 19.263008624429702, 72.78063992303824 19.25876845794293, 72.78513149945884 19.25876845794293))",19.26088854118632,72.78288571124854,,,,523.566,,0.169,0.0,0.0,0.0,0.0,523.735,0.0
Mumbai_29,"POLYGON ((72.78513149945884 19.263008624429702, 72.78513149945884 19.26724868125796, 72.78063992303824 19.26724868125796, 72.78063992303824 19.263008624429702, 72.78513149945884 19.263008624429702))",19.265128652843835,72.78288571124854,,,,835.773,,0.0,0.0,0.0,0.0,0.0,835.773,0.0
Mumbai_30,"POLYGON ((72.78962307587942 19.12726901758304, 72.78962307587942 19.131512573357206, 72.78513149945884 19.131512573357206, 72.78513149945884 19.12726901758304, 72.78962307587942 19.12726901758304))",19.129390795470123,72.78737728766914,,,,1173.899,,12.646,0.0,7.512,0.0,0.0,1194.057,0.0
Mumbai_31,"POLYGON ((72.78962307587942 19.131512573357206, 72.78962307587942 19.135756020106214, 72.78513149945884 19.135756020106214, 72.78513149945884 19.131512573357206, 72.78962307587942 19.131512573357206))",19.13363429673171,72.78737728766913,,,,1804.201,,26.287,0.0,71.971,0.256,0.0,1902.459,0.256
