city,epsilon,method,rank_operational_utility,rank_CO2,rank_distance,rank_policy,composite_rank_score,final_rank,operational_utility_score_mean,CO2_reduction_pct_vs_shortest_mean,distance_penalty_pct_vs_shortest_mean,policy_violation_pct_mean
Chennai,0.05,AStar_EcoRouting,5.0,8.0,5.0,5.0,5.45,5.0,-57.5341668281331,47.15184525690421,15.726288265827847,11.665366854908616
Chennai,0.05,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,13.224338459639178,10.20222663901784,0.6652071669944744,0.0
Chennai,0.05,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-376.0254642293748,55.24638376179756,49.16248142429689,44.40916145047946
Chennai,0.05,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-161.76992062382416,51.754092135759905,27.01757432642793,22.64693540113433
Chennai,0.05,MultiAgent_NoNegotiation,7.0,7.0,7.0,7.0,7.000000000000001,7.0,-85.68430909762236,47.59093597642062,18.509776501226,14.569431205261537
Chennai,0.05,PredictiveDT_Routing,6.0,6.0,6.0,6.0,6.0,6.0,-77.69064757059726,48.3533154711104,18.02143732053266,13.81777813923123
Chennai,0.05,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-161.76992062382416,51.754092135759905,27.01757432642793,22.64693540113433
Chennai,0.05,ShortestPath,2.0,12.0,1.0,1.0,3.1999999999999997,2.0,0.0,0.0,0.0,0.0
Chennai,0.05,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-211.43242218509283,52.852557826041945,32.22547939397377,27.730497069105173
Chennai,0.05,StaticDT_Routing,3.0,10.0,3.0,3.0,4.05,3.0,-29.61151649940876,44.58557490441269,12.351084631988524,8.574308030809934
Chennai,0.05,Weighted_EcoRouting,4.0,9.0,4.0,4.0,4.75,4.0,-50.95460140924502,46.74313320279789,15.000071992658038,10.954823269035714
Chennai,0.05,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-161.76992062382416,51.754092135759905,27.01757432642793,22.64693540113433
Chennai,0.1,AStar_EcoRouting,5.0,8.0,5.0,5.0,5.45,5.0,-32.28715676691601,47.13887094426297,15.719866819977629,8.50915617042727
Chennai,0.1,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,23.105829617958793,19.441766436047818,2.264041330983535,0.0
Chennai,0.1,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-344.14438112579666,55.270870582262425,49.49759725294812,40.34272961683956
Chennai,0.1,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-125.93824333229617,51.64869657240788,26.491871772208047,18.282874047700194
Chennai,0.1,MultiAgent_NoNegotiation,7.0,7.0,7.0,7.0,7.000000000000001,7.0,-60.03094834340037,47.67241549482127,18.507004061073893,11.377330993778209
Chennai,0.1,PredictiveDT_Routing,6.0,6.0,6.0,6.0,6.0,6.0,-50.38260549263694,48.3383089137806,18.005115245766287,10.405934571092539
Chennai,0.1,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-125.93824333229617,51.64869657240788,26.491871772208047,18.282874047700194
Chennai,0.1,ShortestPath,2.0,12.0,1.0,1.0,3.1999999999999997,2.0,0.0,0.0,0.0,0.0
Chennai,0.1,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-173.42007769039768,52.71903129873625,31.584262610609542,23.118557389738207
Chennai,0.1,StaticDT_Routing,3.0,10.0,3.0,3.0,4.05,3.0,-9.712047097914951,44.73971709313479,12.517341548972018,6.072768673204333
Chennai,0.1,Weighted_EcoRouting,4.0,9.0,4.0,4.0,4.75,4.0,-26.30605343606317,46.72106088554935,14.972090214292837,7.8770522520393875
Chennai,0.1,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-125.93824333229617,51.64869657240788,26.491871772208047,18.282874047700194
Chennai,0.15,AStar_EcoRouting,5.0,8.0,5.0,5.0,5.45,5.0,-15.597043630260172,47.13815369682874,15.700172518402164,6.427310258574886
Chennai,0.15,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,28.4717400220897,25.550131992317596,3.9735993887871235,0.0
Chennai,0.15,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-308.0251568204286,55.220050991084946,49.00227446253641,35.94687102206808
Chennai,0.15,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-99.39166329698182,51.6457257777107,26.27426827714019,15.017244055514002
Chennai,0.15,MultiAgent_NoNegotiation,7.0,7.0,7.0,7.0,7.000000000000001,7.0,-39.20617024628061,47.4496665498727,18.26518881096413,8.796111326045196
Chennai,0.15,PredictiveDT_Routing,6.0,6.0,6.0,6.0,6.0,6.0,-31.665678639310237,48.349289818463156,17.994168362241247,8.070202302670749
Chennai,0.15,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-99.39166329698182,51.6457257777107,26.27426827714019,15.017244055514002
Chennai,0.15,ShortestPath,3.0,12.0,1.0,1.0,3.75,3.0,0.0,0.0,0.0,0.0
Chennai,0.15,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-153.05096894737437,52.861502389598854,32.31536513619922,20.41134281176764
Chennai,0.15,StaticDT_Routing,2.0,10.0,3.0,3.0,3.5,2.0,6.805451892448816,44.30111901636635,12.206251416498601,4.013598770504941
Chennai,0.15,Weighted_EcoRouting,4.0,9.0,4.0,4.0,4.75,4.0,-10.682692255035906,46.72944164272241,14.973956245232353,5.924918428159961
Chennai,0.15,XGBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-99.39166329698182,51.6457257777107,26.27426827714019,15.017244055514002
Chennai,0.2,AStar_EcoRouting,5.0,8.0,5.0,5.0,5.45,5.0,-3.170760614690637,47.14410749980979,15.71620940777613,4.871163814904324
Chennai,0.2,CARA_Full,1.0,11.0,2.0,1.0,2.6,1.0,33.1903941296731,31.36595778570981,5.780059434439952,0.0
Chennai,0.2,CO2_Dijkstra,12.0,1.0,12.0,12.0,10.350000000000001,12.0,-277.82902366796935,55.22489254134985,48.91657615785366,32.194035434242686
Chennai,0.2,GradientBoost_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-86.92709022751772,51.83081974421023,27.168262151392028,13.266092891385856
Chennai,0.2,MultiAgent_NoNegotiation,7.0,7.0,7.0,7.0,7.000000000000001,7.0,-35.1786876068444,47.91226760614873,19.440106401017328,8.07795010018227
Chennai,0.2,PredictiveDT_Routing,6.0,6.0,6.0,6.0,6.0,6.0,-17.115114593795113,48.35897111117554,18.031353538970617,6.244086943703325
Chennai,0.2,RandomForest_EcoRoute,8.0,3.0,8.0,8.0,7.25,8.0,-86.92709022751772,51.83081974421023,27.168262151392028,13.266092891385856
Chennai,0.2,ShortestPath,4.0,12.0,1.0,1.0,4.3,4.0,0.0,0.0,0.0,0.0
Chennai,0.2,SingleAgent_Routing,11.0,2.0,11.0,11.0,9.65,11.0,-125.55537147898605,52.816402956222575,31.80432345183949,17.09861207389609
Chennai,0.2,StaticDT_Routing,2.0,10.0,3.0,3.0,3.5,2.0,15.869636615565753,44.526707833758834,12.347543931246774,2.882672878215576
Chennai,0.2,Weighted_EcoRouting,3.0,9.0,4.0,4.0,4.2,3.0,1.213488628817376,46.7350456752931,14.989993134606317,4.435094059255772
